iter	Passed	Remaining
0	0	71
1	1	61
2	1	56
3	2	51
4	2	51
5	3	52
6	3	52
7	4	51
8	4	50
9	5	49
10	6	48
11	6	47
12	6	46
13	7	45
14	7	45
15	8	44
16	8	43
17	9	43
18	9	42
19	10	41
20	10	41
21	11	40
22	11	39
23	12	39
24	12	38
25	13	38
26	13	37
27	14	36
28	14	36
29	15	35
30	15	35
31	16	34
32	16	34
33	17	34
34	18	34
35	18	33
36	19	33
37	20	32
38	20	32
39	20	31
40	21	30
41	21	29
42	22	29
43	22	28
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	25	24
51	26	24
52	26	23
53	27	23
54	27	22
55	28	22
56	28	21
57	29	21
58	29	20
59	30	20
60	30	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	33	16
67	34	16
68	34	15
69	35	15
70	35	14
71	36	14
72	36	13
73	37	13
74	37	12
75	37	11
76	38	11
77	38	10
78	39	10
79	39	9
80	40	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	44	5
89	45	5
90	45	4
91	46	4
92	46	3
93	47	3
94	47	2
95	48	2
96	48	1
97	49	1
98	49	0
99	50	0
